country,age,sex,score
US,20s,f,86.319016062078
US,20s,f,73.4066391275043
US,20s,f,82.9191396456389
US,20s,f,87.6372829257023
US,20s,f,88.2854073352757
US,20s,f,77.5916722204004
US,20s,f,87.0131630539184
US,20s,f,76.7676368355751
US,20s,f,84.4064521647635
US,20s,f,67.5175127174173
US,20s,f,86.6835577147348
US,20s,f,85.130134078541
US,20s,f,85.4447265111265
US,20s,f,85.9898302593224
AU,20s,f,85.1820280864125
US,20s,f,91.7793560337963
US,20s,f,86.4778073770659
US,20s,f,78.9035741505878
US,20s,f,80.7332072052218
US,20s,f,83.114175516225
US,20s,f,89.2318989283272
GB,20s,f,90.7193446321236
US,20s,f,84.408490078169
US,20s,f,76.9497429331144
US,20s,f,77.0356765283006
